ticker,entry_date,exit_date,entry_price,exit_price,hold_days,return_pct,exit_reason,arm,excess_pct
CRM,2014-12-17,2015-03-18,54.19,67.04,61,23.71286215168853,hold_limit,random,17.769175394090553
CRM,2015-06-30,2015-08-25,70.68,67.59,39,-4.3718166383701185,stop,random,4.854225338192231
CRM,2015-11-24,2016-01-11,80.3,73.74,31,-8.169364881693653,stop,random,0.7494251904408102
CRM,2016-01-12,2016-01-13,73.97,74.99,1,1.3789374070569016,stop,random,3.992400364850801
CRM,2017-04-17,2017-07-13,83.25,90.56,61,8.780780780780773,hold_limit,random,5.1938807140272445
CRM,2017-07-21,2017-10-17,90.34,96.96,61,7.327872481735653,hold_limit,random,4.983423510131346
DE,2013-12-05,2014-03-06,85.0,87.16,61,2.5411764705882245,hold_limit,signal,-5.566819994436223
DE,2016-04-20,2016-05-23,82.27,77.5,23,-5.797982253555367,stop,signal,-3.812017857931871
DE,2014-01-13,2014-02-20,89.68,84.79,26,-5.452720785013376,stop,random,-8.13111842936487
DE,2014-03-19,2014-06-16,87.44,90.32,61,3.2936870997255285,hold_limit,random,-0.5047378154651394
DE,2014-07-24,2014-07-25,87.19,86.89,1,-0.34407615552242143,stop,random,0.08513197217583368
DE,2014-07-29,2014-07-30,85.83,85.96,1,0.1514621927064974,stop,random,0.1396034592303863
DE,2015-01-05,2015-01-08,88.06,86.17,3,-2.1462639109697923,stop,random,-4.157895219127061
DE,2015-01-09,2015-01-13,86.5,86.06,2,-0.5086705202312136,stop,random,0.5634640797408275
DE,2015-11-20,2016-01-11,75.21,73.89,33,-1.7550857598723435,stop,random,6.90700815288503
DE,2016-03-15,2016-04-01,80.97,76.26,12,-5.816969247869574,stop,random,-9.08506591931163
DE,2016-05-26,2016-07-26,80.84,78.68,41,-2.671944581890151,stop,random,-7.773818213099792
DE,2016-10-06,2017-01-04,85.13,104.34,61,22.565488077058625,hold_limit,random,16.82686349283626
DE,2017-06-02,2017-08-29,125.89,115.0,61,-8.650409087298438,hold_limit,random,-7.731636822739906
DE,2017-11-06,2018-02-05,135.01,163.1,61,20.805866232130967,hold_limit,random,18.176803165017887
DG,2013-07-11,2013-10-07,55.05,58.36,61,6.012715712988204,hold_limit,signal,3.631626641807495
DG,2014-08-06,2014-10-31,57.53,63.11,61,9.699287328350415,hold_limit,signal,3.9965028743532924
DG,2014-03-04,2014-03-17,60.19,57.29,9,-4.818076092374146,stop,random,-3.892734879441706
DG,2014-05-22,2014-05-29,55.76,53.92,4,-3.299856527977041,stop,random,-4.852409115880563
DG,2014-10-14,2014-10-15,58.74,57.66,1,-1.838610827374887,stop,random,-1.3778786539725418
DG,2015-01-27,2015-04-24,68.04,76.66,61,12.669018224573758,hold_limit,random,8.369993601320314
DG,2015-08-27,2015-08-28,75.0,74.48,1,-0.6933333333333236,stop,random,-0.9817835545528064
DG,2015-09-18,2015-09-21,70.45,70.5,1,0.07097232079489313,stop,random,-0.3147617940069569
DG,2016-01-27,2016-02-12,73.53,68.81,12,-6.419148646810823,stop,random,-4.93302862900955
DG,2016-02-18,2016-05-16,72.58,81.87,61,12.799669330394048,hold_limit,random,2.270970194078471
DG,2016-05-19,2016-08-16,80.6,91.76,61,13.846153846153864,hold_limit,random,5.7046798519039275
DG,2016-09-15,2016-09-29,71.5,70.26,10,-1.7342657342657275,stop,random,-2.43958261959748
DG,2016-10-27,2016-10-28,68.47,67.57,1,-1.3144442821673819,stop,random,-1.337905057374078
DG,2017-02-10,2017-03-07,77.76,72.22,16,-7.12448559670783,stop,random,-8.112813642123673
